Symbol,ETF
WSKY,Y
WTID,N
WTIU,N
WTRX,Y
WYDE,Y
XAR,Y
XBI,Y
XCEM,Y
XD,Y
XE,Y
XES,Y
XF,Y
XH,Y
XHB,Y
XHE,Y
XHS,Y
XI,Y
XINA,Y
XITK,Y
XIVH,N
XK,Y
XLB,Y
XLE,Y
XLF,Y
XLG,Y
XLI,Y
XLK,Y
XLP,Y
XLRE,Y
XLU,Y
XLV,Y
XLY,Y
XM,Y
XME,Y
XMLV,Y
XMPT,Y
XOP,Y
XPH,Y
XPP,Y
XRLV,Y
XRT,Y
XS,Y
XSD,Y
XSHD,Y
XSLV,Y
XSOE,Y
XSW,Y
XT,Y
XTH,Y
XTL,Y
XTN,Y
XU,Y
XVZ,N
XWEB,Y
XXV,N
YANG,Y
YAO,Y
YCL,Y
YCS,Y
YINN,Y
YLD,Y
YMLI,Y
YMLP,Y
YXI,Y
YYY,Y
ZLRG,Y
ZMLP,Y
ZROZ,Y
ZSL,Y
ZSML,Y
